feature,mean_importance
"1-Pentanol, 2-methyl-",-0.06367972302371355
"1-Propanol, 2-methyl-",-0.060966100514432645
Propanoic acid,-0.046410310076733984
2-Pentanone,-0.03276835430626361
Methyl thiolacetate,-0.029207641866040225
"2-Heptanone, 4,6-dimethyl-",-0.018364500324429746
"1-Butanol, 3-methyl-",-0.011047304229991062
"1-Butanol, 3-methyl-, acetate",-0.010032641648831619
Methyl tetradecanoate,-0.00983145539357303
Isobutyl acetate,-0.007249826153712969
 S-Methyl 3-methylbutanethioate,-0.00558517898489973
1-Propanol,-0.004973190339574463
2-Heptanone,-0.004731213594203721
"Tetradecanoic acid, ethyl ester",-0.0025344377193003086
Tetradecanal,-0.0023704072820920465
2-Hexanone,-0.00228350479925159
2-Undecanone,-0.0017386515575895322
1 - Undecene,-0.0014955919722049681
" Decanoic acid, ethyl ester",-0.0008612538142395709
 1-Hexadecanol,-0.0006233327450374637
Amylene hydrate,-0.0005953443824465721
Acetoin,-0.0005566838653829232
"Butanoic acid, 3-methyl-",0.0006651532092115997
" Dodecanoic acid, ethyl ester",0.0008737392831603796
"1-Heptanol, 2,4-dimethyl-,",0.0010769407277536058
"Acetophenone, 2'-amino-",0.0012121006496528474
2-Tridecanone,0.0013968167057767044
 2-Pentadecanone,0.0016920273227014504
"Thiocyanic acid, methyl ester",0.0019578236873655673
2-Pentanol,0.0025334317113974046
Hexadecanal,0.002674163829460141
2-Nonanol,0.003208546625232922
Dodecane,0.004424141499277889
2-Undecanol,0.004665086453319744
"Butanoic acid, 2-methyl-, methyl ester",0.005218915277263469
"Butanoic acid, 2-methyl-, ethyl ester",0.005380978171759643
2-Tridecanol,0.005514612268155616
1-Butanol,0.006415751954596327
Decane,0.006592818795306221
"2-Pentanol, 2-methyl-",0.007333425802072158
Pyrrole,0.009045419745493333
1-Dodecanol,0.010469487835148738
"Benzoic acid, methyl ester",0.01178691198677465
"Propanoic acid, ethyl ester",0.01179961858556261
Indole,0.01223384113100734
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.014975781011369394
"Acetic acid, decyl ester",0.017796929271589844
1-Tetradecanol,0.018580758473689517
"Propanoic acid, 2-methyl-",0.01873276200127706
Methyl isovalerate,0.0212880672420259
2-Nonanone ,0.03297461073709147
2-Dodecanone,0.03591368166536154
1-Octanol,0.037864380186622006
1-Decanol,0.0393152662652471
"1,4-Butanediol",0.04329650977092183
Ethanol,0.04377371435505114
Butyrolactone ,0.04489259105408351
"1H-Pyrrole, 2-methyl-",0.04661216195849627
Acetic acid,0.05009389696913737
n-Tridecan-1-ol,0.050784593354230814
Methyl Isobutyl Ketone,0.06056575699864618
 Ethyl Acetate,0.07018436185815789
Ethyl isocyanide,0.07170586372430249
" 3-Buten-1-ol, 3-methyl-",0.07545470065747098
Phenylethyl Alcohol,0.11380550856719047
n-Pentadecanol,0.12583609109359178
"2-Heptanol, 4-methyl-",0.14049317172786974
