feature,shap_importance
Methyl isovalerate,1.0155785206388235
Acetoin,0.9245651743719112
"Butanoic acid, 2-methyl-, methyl ester",0.9142844722821457
"2-Heptanol, 4-methyl-",0.6928489169041059
 Ethyl Acetate,0.6574098937170809
"1H-Pyrrole, 2-methyl-",0.6293740733688789
1-Butanol,0.5728873491344452
2-Heptanone,0.5497708940632411
Methyl thiolacetate,0.5418482807440597
Decane,0.466675769939778
Methyl Isobutyl Ketone,0.41591127645503845
" 3-Buten-1-ol, 3-methyl-",0.3712216606202496
2-Dodecanone,0.34810643704482824
2-Nonanone ,0.34791816508318274
"Propanoic acid, 2-methyl-",0.34623076250842716
Acetic acid,0.3435739934889551
n-Tridecan-1-ol,0.31832239690117375
"Benzoic acid, methyl ester",0.3176507583527838
2-Hexanone,0.28856452688028733
"1-Propanol, 2-methyl-",0.28390379138588406
"1,4-Butanediol",0.26181390564603446
Propanoic acid,0.2535974573908392
1 - Undecene,0.25269039863434506
2-Pentanone,0.24812767968549868
Butyrolactone ,0.2374897509538902
Ethyl isocyanide,0.23743060173777558
Indole,0.23478157800241567
Ethanol,0.23353887187761568
"2-Heptanone, 4,6-dimethyl-",0.2294262057550748
2-Undecanone,0.21671362737296093
Pyrrole,0.21452876952210748
Phenylethyl Alcohol,0.2088530379826091
2-Nonanol,0.20773283858846073
"Thiocyanic acid, methyl ester",0.20746386336128397
1-Octanol,0.16579177001030107
"Acetophenone, 2'-amino-",0.164808266301939
"Butanoic acid, 2-methyl-, ethyl ester",0.15936337393876662
"Acetic acid, decyl ester",0.15839133224031818
Dodecane,0.15609192173598727
Amylene hydrate,0.1474841404223578
1-Decanol,0.13938179057131436
1-Propanol,0.13886077642073094
"2-Pentanol, 2-methyl-",0.12986099853487412
"1-Butanol, 3-methyl-",0.12685465370223034
Isobutyl acetate,0.12298503820903628
" Dodecanoic acid, ethyl ester",0.11848068644987411
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.11628488678247946
1-Tetradecanol,0.11593755357889589
"Tetradecanoic acid, ethyl ester",0.11528705733165025
2-Undecanol,0.11496057067034383
1-Dodecanol,0.10804220198789818
2-Tridecanone,0.10666793379976924
 2-Pentadecanone,0.1037105706206427
Hexadecanal,0.1016744173559512
" Decanoic acid, ethyl ester",0.09777370273825464
 1-Hexadecanol,0.09469587393639617
"1-Butanol, 3-methyl-, acetate",0.08992746396139353
"Butanoic acid, 3-methyl-",0.08328740972588394
"1-Pentanol, 2-methyl-",0.08137426279080442
"Propanoic acid, ethyl ester",0.07417918041586556
Tetradecanal,0.0716976822028092
 S-Methyl 3-methylbutanethioate,0.07015304400075073
"1-Heptanol, 2,4-dimethyl-,",0.06693421265104027
Methyl tetradecanoate,0.062027180643073526
2-Pentanol,0.05921848036357751
n-Pentadecanol,0.057577035306755966
2-Tridecanol,0.05655743448234747
