feature,mean_importance
"Butanoic acid, 2-methyl-, methyl ester",-6.661338147750939e-17
Indole,-4.4408920985006264e-17
2-Hexanone,-4.4408920985006264e-17
2-Nonanol,-4.4408920985006264e-17
Methyl isovalerate,-4.4408920985006264e-17
"Acetic acid, decyl ester",-4.4408920985006264e-17
Decane,-4.4408920985006264e-17
1-Dodecanol,-4.4408920985006264e-17
"1,4-Butanediol",-2.2204460492503132e-17
"2-Heptanone, 4,6-dimethyl-",-2.2204460492503132e-17
Methyl tetradecanoate,-2.2204460492503132e-17
"1H-Pyrrole, 2-methyl-",-2.2204460492503132e-17
 2-Pentadecanone,-2.2204460492503132e-17
 1-Hexadecanol,-2.2204460492503132e-17
"Tetradecanoic acid, ethyl ester",-2.2204460492503132e-17
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-2.2204460492503132e-17
2-Pentanol,-2.2204460492503132e-17
"2-Heptanol, 4-methyl-",-2.2204460492503132e-17
"Propanoic acid, ethyl ester",-2.2204460492503132e-17
Ethyl isocyanide,-2.2204460492503132e-17
2-Pentanone,-2.2204460492503132e-17
"1-Propanol, 2-methyl-",-2.2204460492503132e-17
"Propanoic acid, 2-methyl-",0.0
"2-Pentanol, 2-methyl-",0.0
2-Undecanone,0.0
"Benzoic acid, methyl ester",0.0
Butyrolactone ,0.0
1-Octanol,0.0
" Decanoic acid, ethyl ester",0.0
Isobutyl acetate,0.0
2-Undecanol,0.0
"Butanoic acid, 3-methyl-",0.0
"Acetophenone, 2'-amino-",0.0
Phenylethyl Alcohol,0.0
Propanoic acid,0.0
"1-Heptanol, 2,4-dimethyl-,",0.0
Methyl thiolacetate,0.0
Pyrrole,0.0
2-Tridecanone,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.0
2-Nonanone ,0.0
Hexadecanal,0.0
"Thiocyanic acid, methyl ester",0.0
 S-Methyl 3-methylbutanethioate,0.0
"1-Butanol, 3-methyl-",0.0
Dodecane,0.0
2-Heptanone,0.0
n-Pentadecanol,0.0
1 - Undecene,0.0
2-Tridecanol,0.0
Tetradecanal,2.2204460492503132e-17
Amylene hydrate,2.2204460492503132e-17
"1-Butanol, 3-methyl-, acetate",2.2204460492503132e-17
2-Dodecanone,2.2204460492503132e-17
1-Propanol,2.2204460492503132e-17
"1-Pentanol, 2-methyl-",2.2204460492503132e-17
1-Tetradecanol,2.2204460492503132e-17
1-Butanol,2.2204460492503132e-17
" Dodecanoic acid, ethyl ester",2.2204460492503132e-17
Acetoin,0.002896526327586213
n-Tridecan-1-ol,0.004735811055973782
Methyl Isobutyl Ketone,0.004773214390818792
1-Decanol,0.015327889669984574
 Ethyl Acetate,0.01672147665182806
" 3-Buten-1-ol, 3-methyl-",0.02878141487748842
Acetic acid,0.0623956524625592
Ethanol,0.12485335925603384
