feature,mean_importance
Pyrrole,-0.09100054982118308
" 3-Buten-1-ol, 3-methyl-",-0.02937854751944542
"Butanoic acid, 2-methyl-, methyl ester",-0.007448812946677208
2-Nonanone ,-0.0025924085173755886
"1-Butanol, 3-methyl-",-0.0019640704384073617
"Thiocyanic acid, methyl ester",-0.0011794503778219223
"1-Propanol, 2-methyl-",-0.0005658810026943683
1-Octanol,-0.0003535850439220667
2-Tridecanol,-0.0001623374642804265
2-Tridecanone,-0.00011299627367407083
"1,4-Butanediol",0.0
"2-Heptanone, 4,6-dimethyl-",0.0
Indole,0.0
"1-Pentanol, 2-methyl-",0.0
"2-Heptanol, 4-methyl-",0.0
 1-Hexadecanol,0.0
2-Nonanol,0.0
"1H-Pyrrole, 2-methyl-",0.0
" Dodecanoic acid, ethyl ester",0.0
Butyrolactone ,0.0
1 - Undecene,0.0
"Tetradecanoic acid, ethyl ester",0.0
n-Pentadecanol,0.0
"Propanoic acid, ethyl ester",0.0
1-Tetradecanol,0.0
n-Tridecan-1-ol,0.0
Hexadecanal,0.0
Amylene hydrate,0.0
Isobutyl acetate,0.0
"Acetophenone, 2'-amino-",0.0
"Propanoic acid, 2-methyl-",0.0
Methyl tetradecanoate,0.0
1-Dodecanol,0.0
2-Hexanone,0.0
"Acetic acid, decyl ester",0.0
Tetradecanal,0.0
"1-Butanol, 3-methyl-, acetate",0.0
2-Dodecanone,0.0
 2-Pentadecanone,0.0
Phenylethyl Alcohol,0.0002654671669006348
Dodecane,0.00026641911827027796
2-Undecanone,0.000420419592410326
" Decanoic acid, ethyl ester",0.00042108162306249143
Ethyl isocyanide,0.0004873800557106733
1-Decanol,0.0005401759408414364
Acetic acid,0.0013499217806383968
"1-Heptanol, 2,4-dimethyl-,",0.0013656088151037693
2-Heptanone,0.001828352827578783
Propanoic acid,0.001874452014453709
"Butanoic acid, 2-methyl-, ethyl ester",0.002091890014708042
 S-Methyl 3-methylbutanethioate,0.002391679212450981
2-Pentanone,0.0030443143099546433
"Benzoic acid, methyl ester",0.0038150961510837076
"2-Pentanol, 2-methyl-",0.004789019143208862
Methyl Isobutyl Ketone,0.005080506531521678
Acetoin,0.008007879881188274
1-Butanol,0.008190753939561545
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.011225353926420212
Decane,0.019233214575797318
Methyl isovalerate,0.019765260186977683
"Butanoic acid, 3-methyl-",0.02828661580570042
Methyl thiolacetate,0.07267760131508112
 Ethyl Acetate,0.08514675721526146
1-Propanol,0.09672058874275535
2-Undecanol,0.11144434821326285
2-Pentanol,0.12475152141414583
Ethanol,0.5979991437634453
