feature,mean_importance
1 - Undecene,-0.9067911149077634
Decane,-0.9067911149077634
"Butanoic acid, 2-methyl-, methyl ester",-0.9067911149077634
2-Nonanol,-0.7254328919262107
"Thiocyanic acid, methyl ester",-0.7254328919262107
2-Pentanol,-0.7254328919262107
2-Hexanone,-0.5390063550933061
Acetic acid,-0.34751150440904927
Methyl isovalerate,-0.18135822298155269
1-Tetradecanol,-0.18135822298155269
"Propanoic acid, ethyl ester",-0.18135822298155269
"1-Propanol, 2-methyl-",-0.1712215952788486
"1-Pentanol, 2-methyl-",-0.012415648412628632
2-Tridecanone,-0.007843495575532655
"1-Butanol, 3-methyl-, acetate",-0.005068313851352135
"1H-Pyrrole, 2-methyl-",-0.005068313851352047
Pyrrole,-0.005068313851352047
1-Propanol,-1.2499998813808588e-09
 1-Hexadecanol,-4.4408920985006264e-17
"Tetradecanoic acid, ethyl ester",0.0
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",0.0
"Acetophenone, 2'-amino-",0.0
 S-Methyl 3-methylbutanethioate,0.0
1-Octanol,0.0
Tetradecanal,0.0
"2-Heptanol, 4-methyl-",0.0
Methyl Isobutyl Ketone,0.0
"Butanoic acid, 2-methyl-, ethyl ester",0.0
"1-Butanol, 3-methyl-",0.0
2-Undecanol,0.0
Propanoic acid,4.4408920985006264e-17
2-Tridecanol,0.002137846877189675
"Propanoic acid, 2-methyl-",0.005068312601352121
1-Butanol,0.005068313851352047
 2-Pentadecanone,0.006540603047056726
" Decanoic acid, ethyl ester",0.010136627702704137
" Dodecanoic acid, ethyl ester",0.010136627702704137
Amylene hydrate,0.012925920844131689
Methyl thiolacetate,0.015204941554056139
2-Undecanone,0.015204941554056139
Ethanol,0.15094833987344028
Methyl tetradecanoate,0.17351472740602003
Indole,0.17628991163020044
n-Pentadecanol,0.18135822298155263
2-Dodecanone,0.18135822298155263
1-Decanol,0.18135822298155263
2-Pentanone,0.18135822298155263
Phenylethyl Alcohol,0.18135822298155263
n-Tridecan-1-ol,0.18135822298155263
1-Dodecanol,0.18135822298155263
"2-Heptanone, 4,6-dimethyl-",0.18414751612298025
Ethyl isocyanide,0.18414751612298025
"Acetic acid, decyl ester",0.19149485068425673
"Butanoic acid, 3-methyl-",0.19656316453560874
2-Nonanone ,0.1965631645356088
" 3-Buten-1-ol, 3-methyl-",0.23122052356360595
"2-Pentanol, 2-methyl-",0.337374876706345
Acetoin,0.3576481321117532
 Ethyl Acetate,0.35764813461175304
Hexadecanal,0.36271644596310526
2-Heptanone,0.36271644596310526
"1,4-Butanediol",0.3738736160288159
Butyrolactone ,0.38870946273410334
"1-Heptanol, 2,4-dimethyl-,",0.5288697273906017
Isobutyl acetate,0.54914298279601
Dodecane,0.5534045626331424
"Benzoic acid, methyl ester",0.7355695196289146
